188,600641,万业企业,18.66
189,002431,棕榈股份,3.74
190,600961,株冶集团,7.66
191,600362,江西铜业,15.92
192,600805,悦达投资,4.09
193,002498,汉缆股份,4.11
194,000338,潍柴动力,16.92
195,600977,中国电影,12.82
196,002410,广联达,69.34
197,601179,中国西电,4.38
198,300027,华谊兄弟,4.43
199,300144,宋城演艺,17.91
200,300024,机器人,13.80
201,600866,星湖科技,4.70
202,600547,山东黄金,24.45
203,000917,电广传媒,5.27
204,600710,苏美达,5.31
205,601969,海南矿业,5.55
206,002422,科伦药业,23.13
207,000823,超声电子,12.22
208,000532,华金资本,12.30
209,600630,龙头股份,6.30
210,600851,海欣股份,7.19
211,002085,万丰奥威,7.26
212,002065,东华软件,9.17
213,601519,大智慧,9.90
214,002028,思源电气,21.81
215,300251,光线传媒,12.11
216,600754,锦江酒店,51.29
217,000008,神州高铁,2.72
218,000009,中国宝安,7.71
219,000012,南玻A,7.69
220,000039,中集集团,14.49
221,000518,四环生物,4.70
222,000533,顺钠股份,3.26
223,000536,*ST华映,2.12
224,000573,粤宏远A,2.81
225,000601,韶能股份,7.03
226,000709,河钢股份,2.17
227,000755,山西路桥,3.66
228,000792,*ST盐湖,--
229,000800,一汽解放,12.38
230,000916,华北高速,--
231,002083,孚日股份,4.98
232,002122,*ST天马,2.12
233,002195,二三四五,2.49
234,002269,美邦服饰,1.94
235,002450,*ST康得,--
236,300104,乐视退,0.18
237,600074,保千里,--
238,600098,广州发展,5.81
239,600103,青山纸业,1.98
240,600169,太原重工,1.99
241,600215,*ST经开,5.37
242,600219,南山铝业,2.71
243,600270,外运发展,--
244,600408,安泰集团,1.92
245,600485,信威集团,--
246,600582,天地科技,3.15
247,600653,申华控股,1.89
248,600654,*ST中安,1.66
249,600694,大商股份,23.30
250,600747,大连控股,--
251,600757,长江传媒,5.48
252,600787,中储股份,4.67
253,600797,浙大网新,8.32
254,600835,上海机电,22.71
255,600854,春兰股份,4.05
256,600871,石化油服,1.83
257,600880,博瑞传播,3.78
258,600978,宜华生活,1.10
259,601106,中国一重,2.94
260,601117,中国化学,5.74
261,601377,兴业证券,8.68
262,601558,华锐风电,--
263,601801,皖新传媒,5.11
264,600271,航天信息,13.89
265,000712,锦龙股份,13.77
266,000333,美的集团,90.52
267,600161,天坛生物,34.17
268,600088,中视传媒,10.63
269,601607,上海医药,20.31
270,600489,中金黄金,9.43
271,002024,苏宁易购,9.22
272,002673,西部证券,9.27
273,600598,北大荒,17.04
274,601369,陕鼓动力,7.00
275,600068,葛洲坝,6.91
276,000651,格力电器,66.26
277,000059,华锦股份,5.60
278,002456,欧菲光,16.22
279,000725,京东方A,5.36
280,601158,重庆水务,5.29
281,601727,上海电气,5.14
282,000598,兴蓉环境,5.11
283,000066,中国长城,15.12
284,002078,太阳纸业,14.95
285,000975,银泰黄金,9.72
286,000031,大悦城,4.75
287,600377,宁沪高速,9.38
288,600637,东方明珠,9.33
289,600550,保变电气,4.60
290,600608,上海科技,4.27
291,600570,恒生电子,88.67
292,000410,*ST沈机,4.16
293,600909,华安证券,8.04
294,000607,华媒控股,3.96
295,002500,山西证券,7.84
296,002129,中环股份,23.08
297,601099,太平洋,3.76
298,600741,华域汽车,33.26
299,600959,江苏有线,3.59
300,002299,圣农发展,24.67
301,600176,中国巨石,17.23
302,601107,四川成渝,3.35
303,000786,北新建材,39.81
304,002608,江苏国信,6.50
305,603160,汇顶科技,178.48
306,601988,中国银行,3.22
307,600277,亿利洁能,3.21
308,600790,轻纺城,3.19
309,600108,亚盛集团,3.16
310,000540,中天金融,3.07
311,600633,浙数文化,9.03
312,600320,振华重工,3.00
313,002202,金风科技,11.74
314,000898,鞍钢股份,2.87
315,600820,隧道股份,5.71
316,601016,节能风电,2.75
317,000413,东旭光电,2.71
318,000415,渤海租赁,2.70
319,600138,中青旅,10.75
320,600999,招商证券,21.25
321,002294,信立泰,28.89
322,000968,蓝焰控股,7.87
323,600500,中化国际,5.23
324,600804,鹏博士,7.82
325,601997,贵阳银行,7.80
326,000498,山东路桥,5.12
327,601899,紫金矿业,7.64
328,000627,天茂集团,5.01
329,002353,杰瑞股份,29.79
330,002399,海普瑞,19.84
331,600135,乐凯胶片,7.38
332,601003,柳钢股份,4.92
333,600352,浙江龙盛,14.12
334,000707,ST双环,2.34
335,600246,万通发展,6.89
336,600210,紫江企业,4.44
337,600312,平高电气,6.61
338,600171,上海贝岭,15.34
339,600007,中国国贸,12.78
340,600707,彩虹股份,4.23
341,601929,吉视传媒,2.09
342,603000,人民网,16.70
343,600795,国电电力,2.06
344,600109,国金证券,16.28
345,002797,第一创业,10.09
346,600823,世茂股份,5.96
347,601225,陕西煤业,9.94
348,601555,东吴证券,9.84
