线路,站名,坐标,全地名,总时间/分,时间1/分,距离1/千米,行走距离1/千米,费用1/元,夜班1,时间2/分,距离2/千米,行走距离2/千米,费用2/元,夜班2
四号线,蕉门,"113.527534,22.800590",广东省广州市南沙区蕉门地铁站,156.15,79.6333333333,47.477,0.204,11.0,0,76.5166666667,50.181,0.287,11.0,0
六号线,横沙,"113.206791,23.158187",广东省广州市白云区横沙地铁站,159.083333333,97.2666666667,35.655,2.346,7.0,0,61.8166666667,20.443,1.372,6.0,0
五号线,西村,"113.234600,23.147956",广东省广州市白云区西村地铁站,161.766666667,98.3,30.119,3.868,7.0,0,63.4666666667,12.778,1.734,5.0,0
六号线,浔峰岗,"113.201941,23.164110",广东省广州市白云区浔峰岗地铁站,162.55,99.0,36.577,2.346,7.0,0,63.55,21.365,1.372,6.0,0
四号线,金洲,"113.538551,22.792211",广东省广州市南沙区金洲地铁站,163.65,82.8166666667,49.434,0.274,11.0,0,80.8333333333,50.059,1.841,9.0,0
六号线,高塘石,"113.201845,23.163807",广东省广州市白云区高塘石地铁站,164.5,99.9833333333,36.645,2.414,7.0,0,64.5166666667,21.433,1.44,6.0,0
十三号线,白江,"113.595312,23.122146",广东省广州市增城区白江地铁站,164.783333333,95.7833333333,44.424,2.56,9.0,0,69.0,33.134,0.485,9.0,0
六号线,暹岗,"113.202647,23.163017",广东省广州市白云区暹岗地铁站,166.95,101.283333333,36.736,2.505,7.0,0,65.6666666667,16.126,0.246,4.0,0
六号线,苏元,"113.468534,23.170935",广东省广州市黄埔区苏元地铁站,167.066666667,104.533333333,40.427,2.766,8.0,0,62.5333333333,22.03,1.677,6.0,0
十三号线,新沙,"113.253439,22.988047",广东省广州市番禺区新沙,170.366666667,71.3666666667,14.255,2.102,2.0,0,99.0,23.188,3.222,6.0,0
四号线,广隆,"113.540463,22.772345",广东省广州市南沙区广隆地铁,172.683333333,87.9,52.362,0.379,11.0,0,84.7833333333,55.066,0.462,12.0,0
六号线,萝岗,"113.481032,23.175684",广东省广州市黄埔区萝岗地铁站,172.75,107.383333333,41.883,2.806,8.0,0,65.3666666667,23.486,1.717,6.0,0
六号线,香雪,"113.501197,23.172409",广东省广州市黄埔区香雪地铁站,178.383333333,111.383333333,45.696,2.838,9.0,0,67.0,25.277,1.636,6.0,0
四号线,大涌,"113.554751,22.759979",广东省广州市南沙区大涌地铁站,179.733333333,90.8666666667,54.717,0.409,12.0,0,88.8666666667,55.342,1.976,10.0,0
四号线,南横,"113.594335,22.747912",广东省广州市南沙区南横地铁站,188.033333333,95.5833333333,58.725,0.421,12.0,0,92.45,61.429,0.504,13.0,0
广佛线,东平,"113.309138,23.248353",广东省广州市白云区东平,194.033333333,115.966666667,38.651,2.994,9.0,0,78.0666666667,22.27,1.792,7.0,0
九号线,飞鹅岭,"113.471832,22.976455",广东省广州市番禺区飞鹅岭,195.116666667,97.0166666667,27.932,3.054,9.0,0,98.1,35.303,1.974,12.0,0
十三号线,沙村,"113.563421,23.114920",广东省广州市增城区沙村,202.516666667,114.65,42.64,4.158,8.0,0,87.8666666667,31.35,2.083,9.0,0
二号线,广州南站,"113.406828,22.804050",广东省广州市南沙区广州南站地铁站,219.683333333,104.933333333,33.775,1.055,9.0,0,114.75,46.729,0.88,12.0,0
七号线,广州南站,"113.406828,22.804050",广东省广州市南沙区广州南站地铁站,219.683333333,104.933333333,33.775,1.055,9.0,0,114.75,46.729,0.88,12.0,0
十四号线,镇龙,"113.295995,23.335224",广东省广州市白云区人和地铁站,232.566666667,177.166666667,51.507,1.357,7.0,0,55.4,29.754,0.242,9.0,0
三号线(北延段),人和,"113.295962,23.335088",广东省广州市白云区人和地铁站,233.983333333,177.3,51.517,1.367,7.0,0,56.6833333333,29.844,0.332,9.0,0
十三号线,新塘,"113.605406,23.132084",广东省广州市增城区新塘地铁站,238.25,167.383333333,60.264,3.12,18.0,0,70.8666666667,34.656,0.462,9.0,0
九号线,马鞍山公园,"113.238054,23.399074",广东省广州市花都区马鞍山公园地铁站,243.75,166.8,55.367,2.073,20.0,0,76.95,41.385,0.443,10.0,0
三号线(北延段),高增,"113.295504,23.355162",广东省广州市白云区高增地铁站,252.633333333,194.616666667,54.306,2.043,8.0,0,58.0166666667,32.066,0.233,9.0,0
九号线,高增,"113.295504,23.355162",广东省广州市白云区高增地铁站,252.633333333,194.616666667,54.306,2.043,8.0,0,58.0166666667,32.066,0.233,9.0,0
九号线,清塘,"113.262626,23.372282",广东省广州市花都区清塘地铁站,254.616666667,185.366666667,59.16,1.762,9.0,0,69.25,36.693,0.398,9.0,0
四号线,飞沙角,"113.541127,22.781676",广东省广州市南沙区飞沙角地铁站,255.233333333,172.666666667,45.221,3.041,6.0,0,82.5666666667,53.774,0.424,12.0,0
广佛线,世纪莲,"113.213584,23.380105",广东省广州市花都区地铁站,265.5,181.9,60.192,1.814,8.0,0,83.6,45.846,0.425,11.0,0
九号线,花城路,"113.213584,23.380105",广东省广州市花都区地铁站,265.5,181.9,60.192,1.814,8.0,0,83.6,45.846,0.425,11.0,0
九号线,莲塘,"113.213584,23.380105",广东省广州市花都区地铁站,265.5,181.9,60.192,1.814,8.0,0,83.6,45.846,0.425,11.0,0
九号线,花果山公园,"113.218350,23.387476",广东省广州市花都区花果山公园地铁站,265.633333333,180.683333333,56.979,3.143,9.0,0,84.95,44.858,0.66,10.0,0
九号线,花都汽车城,"113.180249,23.379957",广东省广州市花都区花都汽车城地铁站,269.7,182.5,56.154,2.527,10.0,0,87.2,49.131,0.325,11.0,0
四号线,南沙客运港,"113.612077,22.769901",广东省广州市南沙区客运港,273.633333333,174.733333333,52.443,2.109,9.0,0,98.9,64.617,0.744,13.0,0
九号线,花都广场,"113.222830,23.401329",广东省广州市花都区花都广场地铁站,276.733333333,198.933333333,59.05,3.809,9.0,0,77.8,42.723,0.346,10.0,0
九号线,广州北站,"113.204609,23.376170",广东省广州市花都区广州北站地铁站,282.216666667,186.533333333,57.764,3.289,10.0,0,95.6833333333,45.225,0.538,16.0,0
十四号线,汤村,"113.566130,23.304730",广东省广州市黄埔区汤村,290.05,167.216666667,62.053,2.973,12.0,0,122.833333333,41.634,1.771,9.0,0
十四号线,旺村,"113.552212,23.322472",广东省广州市黄埔区旺村地铁站,295.783333333,168.016666667,57.465,2.963,12.0,0,127.766666667,43.991,1.8,9.0,0
十四号线,何棠下,"113.541580,23.339873",广东省广州市黄埔区何棠下村,312.916666667,176.583333333,60.049,3.176,12.0,0,136.333333333,46.575,2.013,9.0,0
十四号线,知识城,"113.524304,23.350036",广东省广州市黄埔区知识城地铁站,317.133333333,178.683333333,62.123,2.939,12.0,0,138.45,48.649,1.776,9.0,0
十四号线,枫下,"113.508182,23.363585",广东省广州市黄埔区枫下地铁站,321.133333333,179.516666667,73.689,3.182,12.0,0,141.616666667,57.308,1.98,10.0,0
广佛线,新城东,"113.559545,22.759620",广东省广州市南沙区新城,341.266666667,166.683333333,46.981,1.957,7.0,0,174.583333333,61.832,0.809,10.0,0
十三号线,官湖,"113.634045,23.137286",广东省广州市增城区官湖地铁站,361.366666667,174.35,58.834,0.976,9.0,0,187.016666667,47.173,3.239,4.0,0
