线路,站名,坐标,全地名,总时间/分,时间1/分,距离1/千米,行走距离1/千米,费用1/元,夜班1,时间2/分,距离2/千米,行走距离2/千米,费用2/元,夜班2
四号线,广隆,"113.540463,22.772345",广东省广州市南沙区广隆地铁,172.783333333,88.0,52.368,0.385,11.0,0,84.7833333333,55.066,0.462,12.0,0
六号线,萝岗,"113.481032,23.175684",广东省广州市黄埔区萝岗地铁站,173.233333333,107.866666667,41.917,2.84,8.0,0,65.3666666667,23.486,1.717,6.0,0
六号线,香雪,"113.501197,23.172409",广东省广州市黄埔区香雪地铁站,178.866666667,111.866666667,45.73,2.872,9.0,0,67.0,25.277,1.636,6.0,0
四号线,大涌,"113.554751,22.759979",广东省广州市南沙区大涌地铁站,179.816666667,90.95,54.723,0.415,12.0,0,88.8666666667,55.342,1.976,10.0,0
四号线,南横,"113.594335,22.747912",广东省广州市南沙区南横地铁站,188.133333333,95.6833333333,58.731,0.427,12.0,0,92.45,61.429,0.504,13.0,0
九号线,飞鹅岭,"113.471832,22.976455",广东省广州市番禺区飞鹅岭,195.6,97.5,27.966,3.088,9.0,0,98.1,35.303,1.974,12.0,0
十三号线,沙村,"113.563421,23.114920",广东省广州市增城区沙村,203.0,115.133333333,42.674,4.192,8.0,0,87.8666666667,31.35,2.083,9.0,0
二号线,广州南站,"113.406828,22.804050",广东省广州市南沙区广州南站地铁站,217.1,103.683333333,33.781,1.061,9.0,0,113.416666667,46.729,0.88,12.0,0
七号线,广州南站,"113.406828,22.804050",广东省广州市南沙区广州南站地铁站,217.1,103.683333333,33.781,1.061,9.0,0,113.416666667,46.729,0.88,12.0,0
十四号线,镇龙,"113.295995,23.335224",广东省广州市白云区人和地铁站,233.4,178.0,51.541,1.391,7.0,0,55.4,29.754,0.242,9.0,0
三号线(北延段),人和,"113.295962,23.335088",广东省广州市白云区人和地铁站,234.816666667,178.133333333,51.551,1.401,7.0,0,56.6833333333,29.844,0.332,9.0,0
十三号线,新塘,"113.605406,23.132084",广东省广州市增城区新塘地铁站,238.633333333,167.766666667,60.298,3.154,18.0,0,70.8666666667,34.655,0.462,9.0,0
广佛线,东平,"113.309138,23.248353",广东省广州市白云区东平,245.583333333,167.55,39.395,2.249,6.0,0,78.0333333333,22.27,1.792,7.0,0
九号线,花都广场,"113.222830,23.401329",广东省广州市花都区花都广场地铁站,250.816666667,173.016666667,57.199,2.576,17.0,0,77.8,42.723,0.346,10.0,0
九号线,马鞍山公园,"113.238054,23.399074",广东省广州市花都区马鞍山公园地铁站,251.283333333,172.666666667,56.868,2.55,17.0,0,78.6166666667,41.501,0.559,10.0,0
三号线(北延段),高增,"113.295504,23.355162",广东省广州市白云区高增地铁站,253.5,195.483333333,54.34,2.077,8.0,0,58.0166666667,32.066,0.233,9.0,0
九号线,高增,"113.295504,23.355162",广东省广州市白云区高增地铁站,253.5,195.483333333,54.34,2.077,8.0,0,58.0166666667,32.066,0.233,9.0,0
四号线,飞沙角,"113.541127,22.781676",广东省广州市南沙区飞沙角地铁站,254.266666667,171.7,45.255,3.075,6.0,0,82.5666666667,53.774,0.424,12.0,0
九号线,清塘,"113.262626,23.372282",广东省广州市花都区清塘地铁站,255.45,186.2,59.194,1.796,9.0,0,69.25,36.693,0.398,9.0,0
广佛线,世纪莲,"113.213584,23.380105",广东省广州市花都区地铁站,266.05,182.45,60.226,1.848,8.0,0,83.6,45.846,0.425,11.0,0
九号线,花城路,"113.213584,23.380105",广东省广州市花都区地铁站,266.05,182.45,60.226,1.848,8.0,0,83.6,45.846,0.425,11.0,0
九号线,莲塘,"113.213584,23.380105",广东省广州市花都区地铁站,266.05,182.45,60.226,1.848,8.0,0,83.6,45.846,0.425,11.0,0
九号线,花果山公园,"113.218350,23.387476",广东省广州市花都区花果山公园地铁站,266.216666667,181.266666667,57.013,3.177,9.0,0,84.95,44.858,0.66,10.0,0
九号线,花都汽车城,"113.180249,23.379957",广东省广州市花都区花都汽车城地铁站,270.183333333,182.983333333,56.188,2.561,10.0,0,87.2,49.131,0.325,11.0,0
广佛线,新城东,"113.559545,22.759620",广东省广州市南沙区新城,272.5,99.35,55.311,1.003,12.0,0,173.15,61.832,0.809,10.0,0
四号线,南沙客运港,"113.612077,22.769901",广东省广州市南沙区客运港,273.133333333,174.233333333,52.41,2.076,9.0,0,98.9,64.617,0.744,13.0,0
九号线,广州北站,"113.204609,23.376170",广东省广州市花都区广州北站地铁站,283.666666667,187.116666667,57.798,3.323,10.0,0,96.55,45.227,0.538,16.0,0
十四号线,汤村,"113.566130,23.304730",广东省广州市黄埔区汤村,290.533333333,167.7,62.087,3.007,12.0,0,122.833333333,41.634,1.771,9.0,0
十四号线,旺村,"113.552212,23.322472",广东省广州市黄埔区旺村地铁站,296.266666667,168.5,57.499,2.997,12.0,0,127.766666667,43.991,1.8,9.0,0
十四号线,何棠下,"113.541580,23.339873",广东省广州市黄埔区何棠下村,313.4,177.066666667,60.083,3.21,12.0,0,136.333333333,46.575,2.013,9.0,0
十四号线,知识城,"113.524304,23.350036",广东省广州市黄埔区知识城地铁站,317.616666667,179.166666667,62.157,2.973,12.0,0,138.45,48.649,1.776,9.0,0
十四号线,枫下,"113.508182,23.363585",广东省广州市黄埔区枫下地铁站,321.583333333,179.983333333,73.723,3.216,12.0,0,141.6,57.308,1.98,10.0,0
十三号线,官湖,"113.634045,23.137286",广东省广州市增城区官湖地铁站,361.816666667,174.733333333,58.868,1.01,9.0,0,187.083333333,47.173,3.239,4.0,0
