三号线(北延段),机场北（2号航站楼）,"113.270261,23.082640",广东省广州市海珠区地铁昌岗站
四号线,南沙客运港,"113.612077,22.769901",广东省广州市南沙区客运港
四号线,南横,"113.594335,22.747912",广东省广州市南沙区南横地铁站
四号线,塘坑,"113.230689,23.064640",广东省广州市荔湾区地铁站
四号线,大涌,"113.554751,22.759979",广东省广州市南沙区大涌地铁站
四号线,广隆,"113.540463,22.772345",广东省广州市南沙区广隆地铁
四号线,飞沙角,"113.541127,22.781676",广东省广州市南沙区飞沙角地铁站
四号线,金洲,"113.538551,22.792211",广东省广州市南沙区金洲地铁站
四号线,蕉门,"113.527534,22.800590",广东省广州市南沙区蕉门地铁站
四号线,黄阁,"113.385413,22.935556",广东省广州市番禺区黄阁地铁站
四号线,黄阁汽车城,"113.509719,22.835812",广东省广州市南沙区黄阁汽车城地铁站
四号线,庆盛,"113.490456,22.866999",广东省广州市南沙区庆盛地铁站
四号线,东涌,"113.478928,22.885635",广东省广州市南沙区东涌地铁站
四号线,低涌,"113.484809,22.919557",广东省广州市番禺区低涌地铁站
四号线,海傍,"113.475507,22.940031",广东省广州市番禺区海傍地铁站
四号线,石碁,"113.465198,22.957262",广东省广州市番禺区石碁地铁站
四号线,新造,"113.415625,23.028073",广东省广州市番禺区新造地铁站
四号线,大学城南,"113.400557,23.043313",广东省广州市番禺区大学城南地铁站
四号线,大学城北,"113.385625,23.058098",广东省广州市番禺区大学城北地铁站
四号线,官洲,"113.376846,23.066862",广东省广州市海珠区官洲地铁站
四号线,万胜围,"113.383904,23.098037",广东省广州市海珠区万胜围地铁站
四号线,车陂南,"113.324479,23.131384",广东省广州市天河区南地铁站
四号线,车陂,"113.395548,23.124465",广东省广州市天河区车陂地铁站
四号线,黄村,"113.407069,23.132112",广东省广州市天河区黄村地铁站
五号线,滘口,"113.208500,23.114207",广东省广州市荔湾区滘口地铁站
五号线,坦尾,"113.218387,23.125234",广东省广州市荔湾区坦尾地铁站
五号线,中山八,"113.232727,23.126046",广东省广州市荔湾区中山八地铁站
