线路,站名,坐标,全地名,总时间,时间1,距离1,行走距离1,费用1,夜班1,时间2,距离2,行走距离2,费用2,夜班2
APM,大剧院,"113.324460,23.116138",广东省广州市天河区大剧院地铁站,5462,3799,18356,2608,7.0,0,1663,3459,634,2.0,0
一号线,杨箕,"113.307692,23.127284",广东省广州市越秀区杨箕地铁站,5469,3950,20526,2608,5.0,0,1519,3903,432,2.0,0
五号线,杨箕,"113.307692,23.127284",广东省广州市越秀区杨箕地铁站,5469,3950,20526,2608,5.0,0,1519,3903,432,2.0,0
十四号线,新南,"113.389561,23.115930",广东省广州市天河区车碑南地铁站,5473,3519,19620,2380,5.0,0,1954,5675,635,2.0,0
七号线,谢村,"113.295832,22.990579",广东省广州市番禺区谢村地铁站,5483,2214,8988,189,4.0,0,3269,22414,1600,6.0,0
二号线,洛溪,"113.298795,23.043076",广东省广州市番禺区洛溪地铁站,5487,2429,9909,676,2.0,0,3058,15302,1396,3.0,0
七号线,板桥,"113.388139,23.016845",广东省广州市番禺区板桥地铁站,5492,2471,11753,183,5.0,0,3021,21169,271,8.0,0
四号线,官洲,"113.376846,23.066862",广东省广州市海珠区官洲地铁站,5504,3111,19003,183,7.0,0,2393,13918,271,6.0,0
三号线,五山,"113.352100,23.152322",广东省广州市天河区五山地铁站,5521,3955,21180,723,6.0,0,1566,4227,1461,2.0,0
APM,黄埔大道,"113.324490,23.127054",广东省广州市天河区黄埔大道地铁站,5546,4020,21413,1906,4.0,0,1526,2243,830,2.0,0
八号线,琶洲,"113.368879,23.098397",广东省广州市海珠区琶洲地铁站,5571,3676,19164,502,5.0,0,1895,7994,388,2.0,0
二号线,昌岗,"113.276885,23.090654",广东省广州市海珠区昌岗地铁站,5582,3143,16124,721,5.0,0,2439,12156,1372,4.0,0
八号线,昌岗,"113.276885,23.090654",广东省广州市海珠区昌岗地铁站,5582,3143,16124,721,5.0,0,2439,12156,1372,4.0,0
三号线(北延段),京溪南方医院,"113.326126,23.185225",广东省广州市白云区京溪南方医院地铁站,5614,3611,25199,651,7.0,0,2003,9924,233,5.0,0
三号线(北延段),梅花园,"113.320202,23.174978",广东省广州市天河区梅花园地铁站,5648,3627,23979,803,7.0,0,2021,8706,387,5.0,0
四号线,大学城北,"113.385625,23.058098",广东省广州市番禺区大学城北地铁站,5651,3148,17725,354,7.0,0,2503,12579,375,2.0,0
二号线,东晓南,"113.294174,23.071333",广东省广州市海珠区东晓南地铁站,5657,2840,13023,717,4.0,0,2817,15253,1372,5.0,0
四号线,万胜围,"113.383904,23.098037",广东省广州市海珠区万胜围地铁站,5668,3579,22975,475,7.0,0,2089,9341,369,2.0,0
八号线,万胜围,"113.383904,23.098037",广东省广州市海珠区万胜围地铁站,5668,3579,22975,475,7.0,0,2089,9341,369,2.0,0
一号线,广州东站,"113.324729,23.150336",广东省广州市天河区广州东站地铁站,5675,3928,20541,890,3.0,0,1747,4054,687,4.0,0
三号线(北延段),广州东站,"113.324729,23.150336",广东省广州市天河区广州东站地铁站,5675,3928,20541,890,3.0,0,1747,4054,687,4.0,0
三号线,市桥,"113.361610,22.948959",广东省广州市番禺区市桥地铁站,5755,2585,12256,536,5.0,0,3170,25204,355,8.0,0
一号线,公园前,"113.264824,23.125000",广东省广州市越秀区公园前地铁站,5772,3689,20270,773,6.0,0,2083,8140,554,5.0,0
二号线,公园前,"113.264824,23.125000",广东省广州市越秀区公园前地铁站,5772,3689,20270,773,6.0,0,2083,8140,554,5.0,0
APM,妇儿中心,"113.324558,23.122553",广东省广州市天河区妇儿中心地铁站,5782,4252,19368,3309,5.0,0,1530,2504,687,2.0,0
