线路,站名,坐标,全地名,总时间,时间1,距离1,行走距离1,费用1,夜班1,时间2,距离2,行走距离2,费用2,夜班2
六号线,高塘石,"113.201845,23.163807",广东省广州市白云区高塘石地铁站,9899,6028,36679,2448,7.0,0,3871,21433,1440,6.0,0
十三号线,白江,"113.595312,23.122146",广东省广州市增城区白江地铁站,9916,5776,44457,2594,9.0,0,4140,33133,485,9.0,0
六号线,暹岗,"113.202647,23.163017",广东省广州市白云区暹岗地铁站,10047,6106,36770,2539,7.0,0,3941,16126,246,4.0,0
六号线,苏元,"113.468534,23.170935",广东省广州市黄埔区苏元地铁站,10054,6302,40461,2800,8.0,0,3752,22030,1677,6.0,0
十三号线,新沙,"113.253439,22.988047",广东省广州市番禺区新沙,10228,4287,14261,2108,2.0,0,5941,23188,3222,6.0,0
三号线(北延段),机场南（1号航站楼）,"113.275162,23.199098",广东省广州市白云区机场宿舍,10285,6314,37132,3312,7.0,0,3971,23065,2304,5.0,0
四号线,广隆,"113.540463,22.772345",广东省广州市南沙区广隆地铁,10367,5280,52368,385,11.0,0,5087,55066,462,12.0,0
六号线,萝岗,"113.481032,23.175684",广东省广州市黄埔区萝岗地铁站,10394,6472,41917,2840,8.0,0,3922,23486,1717,6.0,0
六号线,香雪,"113.501197,23.172409",广东省广州市黄埔区香雪地铁站,10732,6712,45730,2872,9.0,0,4020,25277,1636,6.0,0
四号线,大涌,"113.554751,22.759979",广东省广州市南沙区大涌地铁站,10789,5457,54723,415,12.0,0,5332,55342,1976,10.0,0
四号线,南横,"113.594335,22.747912",广东省广州市南沙区南横地铁站,11288,5741,58731,427,12.0,0,5547,61429,504,13.0,0
九号线,飞鹅岭,"113.471832,22.976455",广东省广州市番禺区飞鹅岭,11736,5850,27966,3088,9.0,0,5886,35303,1974,12.0,0
十三号线,沙村,"113.563421,23.114920",广东省广州市增城区沙村,12180,6908,42674,4192,8.0,0,5272,31350,2083,9.0,0
二号线,广州南站,"113.406828,22.804050",广东省广州市南沙区广州南站地铁站,13026,6221,33781,1061,9.0,0,6805,46729,880,12.0,0
七号线,广州南站,"113.406828,22.804050",广东省广州市南沙区广州南站地铁站,13026,6221,33781,1061,9.0,0,6805,46729,880,12.0,0
十四号线,镇龙,"113.295995,23.335224",广东省广州市白云区人和地铁站,14004,10680,51541,1391,7.0,0,3324,29754,242,9.0,0
三号线(北延段),人和,"113.295962,23.335088",广东省广州市白云区人和地铁站,14089,10688,51551,1401,7.0,0,3401,29844,332,9.0,0
十三号线,新塘,"113.605406,23.132084",广东省广州市增城区新塘地铁站,14318,10066,60298,3154,18.0,0,4252,34655,462,9.0,0
广佛线,东平,"113.309138,23.248353",广东省广州市白云区东平,14735,10053,39395,2249,6.0,0,4682,22270,1792,7.0,0
九号线,花都广场,"113.222830,23.401329",广东省广州市花都区花都广场地铁站,15049,10381,57199,2576,17.0,0,4668,42723,346,10.0,0
九号线,马鞍山公园,"113.238054,23.399074",广东省广州市花都区马鞍山公园地铁站,15077,10360,56868,2550,17.0,0,4717,41501,559,10.0,0
三号线(北延段),高增,"113.295504,23.355162",广东省广州市白云区高增地铁站,15210,11729,54340,2077,8.0,0,3481,32066,233,9.0,0
九号线,高增,"113.295504,23.355162",广东省广州市白云区高增地铁站,15210,11729,54340,2077,8.0,0,3481,32066,233,9.0,0
四号线,飞沙角,"113.541127,22.781676",广东省广州市南沙区飞沙角地铁站,15256,10302,45255,3075,6.0,0,4954,53774,424,12.0,0
九号线,清塘,"113.262626,23.372282",广东省广州市花都区清塘地铁站,15327,11172,59194,1796,9.0,0,4155,36693,398,9.0,0
广佛线,世纪莲,"113.213584,23.380105",广东省广州市花都区地铁站,15963,10947,60226,1848,8.0,0,5016,45846,425,11.0,0
九号线,花城路,"113.213584,23.380105",广东省广州市花都区地铁站,15963,10947,60226,1848,8.0,0,5016,45846,425,11.0,0
九号线,莲塘,"113.213584,23.380105",广东省广州市花都区地铁站,15963,10947,60226,1848,8.0,0,5016,45846,425,11.0,0
九号线,花果山公园,"113.218350,23.387476",广东省广州市花都区花果山公园地铁站,15973,10876,57013,3177,9.0,0,5097,44858,660,10.0,0
九号线,花都汽车城,"113.180249,23.379957",广东省广州市花都区花都汽车城地铁站,16211,10979,56188,2561,10.0,0,5232,49131,325,11.0,0
广佛线,新城东,"113.559545,22.759620",广东省广州市南沙区新城,16350,5961,55311,1003,12.0,0,10389,61832,809,10.0,0
四号线,南沙客运港,"113.612077,22.769901",广东省广州市南沙区客运港,16388,10454,52410,2076,9.0,0,5934,64617,744,13.0,0
九号线,广州北站,"113.204609,23.376170",广东省广州市花都区广州北站地铁站,17020,11227,57798,3323,10.0,0,5793,45227,538,16.0,0
十四号线,汤村,"113.566130,23.304730",广东省广州市黄埔区汤村,17432,10062,62087,3007,12.0,0,7370,41634,1771,9.0,0
十四号线,旺村,"113.552212,23.322472",广东省广州市黄埔区旺村地铁站,17776,10110,57499,2997,12.0,0,7666,43991,1800,9.0,0
十四号线,何棠下,"113.541580,23.339873",广东省广州市黄埔区何棠下村,18804,10624,60083,3210,12.0,0,8180,46575,2013,9.0,0
十四号线,知识城,"113.524304,23.350036",广东省广州市黄埔区知识城地铁站,19057,10750,62157,2973,12.0,0,8307,48649,1776,9.0,0
十四号线,枫下,"113.508182,23.363585",广东省广州市黄埔区枫下地铁站,19295,10799,73723,3216,12.0,0,8496,57308,1980,10.0,0
十三号线,官湖,"113.634045,23.137286",广东省广州市增城区官湖地铁站,21709,10484,58868,1010,9.0,0,11225,47173,3239,4.0,0
